customer_id,sku_id,route,time_period,base_demand,promotion_flag,discount_percentage,sentiment_score,review_volume,sustainable_sku_flag,regulation_impact_score,eco_preference_index
CUST_1,SKU_1,DEL-MUM,31-01-2025,71,1,10,0.56,30,0,-0.12,0.06
CUST_1,SKU_1,DEL-MUM,28-02-2025,43,0,20,0.94,201,1,0.11,0.61
CUST_1,SKU_1,DEL-MUM,31-03-2025,68,0,9,-0.91,197,0,0.03,0.79
CUST_1,SKU_1,DEL-MUM,30-04-2025,70,0,19,0.18,140,1,0.14,0.45
CUST_1,SKU_1,DEL-MUM,31-05-2025,37,1,27,0.13,274,0,-0.08,0.24
CUST_1,SKU_1,DEL-MUM,30-06-2025,79,0,28,0.67,44,1,-0.07,0.66
CUST_1,SKU_1,DEL-MUM,31-07-2025,21,0,21,0.09,200,1,0.02,0.4
CUST_1,SKU_1,DEL-MUM,31-08-2025,33,1,14,-0.82,224,0,0.28,0.84
CUST_1,SKU_1,DEL-MUM,30-09-2025,72,0,24,-0.44,50,0,-0.12,0.02
CUST_1,SKU_1,DEL-MUM,31-10-2025,28,1,11,-0.41,72,1,0.15,0.73
CUST_1,SKU_1,DEL-MUM,30-11-2025,52,0,9,-0.28,50,1,0.23,0.45
CUST_1,SKU_1,DEL-MUM,31-12-2025,52,0,22,0.34,108,0,-0.06,0.56
CUST_1,SKU_1,DEL-BLR,31-01-2025,66,1,0,0.44,264,0,-0.18,0.71
CUST_1,SKU_1,DEL-BLR,28-02-2025,61,0,18,-0.94,240,0,0.08,0.7
CUST_1,SKU_1,DEL-BLR,31-03-2025,42,0,14,0.51,45,1,0.1,0.69
CUST_1,SKU_1,DEL-BLR,30-04-2025,47,1,12,-0.41,143,0,-0.09,0.42
CUST_1,SKU_1,DEL-BLR,31-05-2025,81,0,25,-0.76,240,1,-0.06,0.65
CUST_1,SKU_1,DEL-BLR,30-06-2025,96,1,6,-0.67,146,0,0.15,0.27
CUST_1,SKU_1,DEL-BLR,31-07-2025,43,1,21,-0.56,242,0,-0.17,0.25
CUST_1,SKU_1,DEL-BLR,31-08-2025,31,0,1,0.42,110,0,-0.18,0.61
CUST_1,SKU_1,DEL-BLR,30-09-2025,21,0,22,-0.44,234,1,0.14,0.53
CUST_1,SKU_1,DEL-BLR,31-10-2025,51,0,22,0.34,212,0,-0.08,0.8
CUST_1,SKU_1,DEL-BLR,30-11-2025,88,0,5,-0.2,249,1,-0.12,0.51
CUST_1,SKU_1,DEL-BLR,31-12-2025,99,0,19,-0.35,156,0,-0.15,0.94
CUST_1,SKU_1,BLR-SIN,31-01-2025,59,0,17,0.68,276,0,-0.14,0.92
CUST_1,SKU_1,BLR-SIN,28-02-2025,61,0,27,-0.65,121,0,0.06,0.24
CUST_1,SKU_1,BLR-SIN,31-03-2025,67,1,4,0.8,18,0,0.15,0.85
CUST_1,SKU_1,BLR-SIN,30-04-2025,39,1,23,0.78,125,0,-0.12,0.9
